id,is_monomer,SMILES,SIF_minutes,SGF_minutes,source_name
906.0,True,CC(=O)NCCCC[C@@](C)(NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H](Cc1ccc(OCCNC(C)=O)cc1)NC(=O)[C@@H]1CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(N)=O)C(=O)N1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O,270,270,US9624268.csv
905.0,True,CC(=O)NCCCC[C@H](NC(=O)[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc1ccc(OCCN)cc1)NC(=O)[C@@H]1CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(N)=O)C(=O)N1)C1CCCCC1)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O,270,270,US9624268.csv
899.0,True,CC(=O)N[C@H]1CCSC[C@@H](C(=O)N[C@H](Cc2ccc(OCCN)cc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(N)=O)NC1=O,90,30,US9624268.csv
896.0,True,CC(=O)NC[C@H](NC(=O)[C@H](CCCN)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc1ccc(OCCN)cc1)NC(=O)[C@@H]1CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(N)=O)C(=O)N1)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O,420,270,US9624268.csv
895.0,True,CC(=O)N[C@H]1CCSC[C@@H](C(=O)N[C@H](Cc2ccc(OCCN)cc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCN)C(=O)N[C@@H](CN)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(N)=O)NC1=O,420,270,US9624268.csv
894.0,True,CC(=O)N[C@H]1CCSC[C@@H](C(=O)N[C@H](Cc2ccc(OCCN)cc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(N)=O)NC1=O,270,30,US9624268.csv
893.0,True,CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCN)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H](Cc1ccc(OCCN)cc1)NC(=O)[C@@H]1CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(N)=O)C(=O)N1)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O,30,30,US9624268.csv
886.0,True,CC(=O)NCCCC[C@H](NC(=O)[C@@](C)(CCCCN)NC(=O)[C@H](CCc1ccccc1)NC(=O)[C@@H](Cc1ccc(OCCN)cc1)NC(=O)[C@@H]1CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(N)=O)C(=O)N1)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O,420,420,US9624268.csv
885.0,True,CC(=O)NCCCC[C@H](NC(=O)[C@@](C)(CCCCN)NC(=O)[C@@H](Cc1ccc(OCCN)cc1)NC(=O)[C@@H]1CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(N)=O)C(=O)N1)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O,270,270,US9624268.csv
874.0,True,CC(=O)NCCCC[C@H](NC(=O)[C@@](C)(CCCCN)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H](Cc1ccc(OCCN)cc1)NC(=O)[C@@H]1CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(N)=O)C(=O)N1)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N[C@H](CCCCN)C(N)=O,90,30,US9624268.csv
